country,continent,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Montenegro,Europe,31,114,128,4.9
Morocco,Africa,12,6,10,0.5
Mozambique,Africa,47,18,5,1.3
Myanmar,Asia,5,1,0,0.1
Namibia,Africa,376,3,1,6.8
Nauru,Oceania,49,0,8,1.0
Nepal,Asia,5,6,0,0.2
Netherlands,Europe,251,88,190,9.4
New Zealand,Oceania,203,79,175,9.3
Nicaragua,North America,78,118,1,3.5
Niger,Africa,3,2,1,0.1
Nigeria,Africa,42,5,2,9.1
Niue,Oceania,188,200,7,7.0
Norway,Europe,169,71,129,6.7
Oman,Asia,22,16,1,0.7
Pakistan,Asia,0,0,0,0.0
Palau,Oceania,306,63,23,6.9
Panama,North America,285,104,18,7.2
Papua New Guinea,Oceania,44,39,1,1.5
Paraguay,South America,213,117,74,7.3
Peru,South America,163,160,21,6.1
Philippines,Asia,71,186,1,4.6
Poland,Europe,343,215,56,10.9
Portugal,Europe,194,67,339,11.0
Qatar,Asia,1,42,7,0.9
South Korea,Asia,140,16,9,9.8
Moldova,Europe,109,226,18,6.3
Romania,Europe,297,122,167,10.4
Russian Federation,Asia,247,326,73,11.5
Rwanda,Africa,43,2,0,6.8
St. Kitts & Nevis,North America,194,205,32,7.7
St. Lucia,North America,171,315,71,10.1
St. Vincent & the Grenadines,North America,120,221,11,6.3
Samoa,Oceania,105,18,24,2.6
San Marino,Europe,0,0,0,0.0
Sao Tome & Principe,Africa,56,38,140,4.2
Saudi Arabia,Asia,0,5,0,0.1
Senegal,Africa,9,1,7,0.3
Serbia,Europe,283,131,127,9.6
Seychelles,Africa,157,25,51,4.1
Sierra Leone,Africa,25,3,2,6.7
Singapore,Asia,60,12,11,1.5
Slovakia,Europe,196,293,116,11.4
Slovenia,Europe,270,51,276,10.6
Solomon Islands,Oceania,56,11,1,1.2
Somalia,Africa,0,0,0,0.0
South Africa,Africa,225,76,81,8.2
Spain,Europe,284,157,112,10.0
Sri Lanka,Asia,16,104,0,2.2
Sudan,Africa,8,13,0,1.7
Suriname,South America,128,178,7,5.6
Swaziland,Africa,90,2,2,4.7
Sweden,Europe,152,60,186,7.2
Switzerland,Europe,185,100,280,10.2
Syria,Asia,5,35,16,1.0
Tajikistan,Asia,2,15,0,0.3
Thailand,Asia,99,258,1,6.4
Macedonia,Europe,106,27,86,3.9
Timor-Leste,Asia,1,1,4,0.1
Togo,Africa,36,2,19,1.3
Tonga,Oceania,36,21,5,1.1
Trinidad & Tobago,South America,197,156,7,6.4
Tunisia,Africa,51,3,20,1.3
Turkey,Asia,51,22,7,1.4
Turkmenistan,Asia,19,71,32,2.2
Tuvalu,Oceania,6,41,9,1.0
Uganda,Africa,45,9,0,8.3
Ukraine,Europe,206,237,45,8.9
United Arab Emirates,Asia,16,135,5,2.8
United Kingdom,Europe,219,126,195,10.4
Tanzania,Africa,36,6,1,5.7
USA,North America,249,158,84,8.7
Uruguay,South America,115,35,220,6.6
Uzbekistan,Asia,25,101,8,2.4
Vanuatu,Oceania,21,18,11,0.9
Venezuela,South America,333,100,3,7.7
Vietnam,Asia,111,2,1,2.0
Yemen,Asia,6,0,0,0.1
Zambia,Africa,32,19,4,2.5
Zimbabwe,Africa,64,18,4,4.7
